original_ORF_annotation	query	target	description	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
>LOKIASV2_37290 asparagine synthase B	LOKIASV2_3729_ESMFold_asparagine_synthase_B	AF-Q54MB4-F1-model_v4	Probable asparagine synthetase [glutamine-hydrolyzing] 	0.245	533	381	1	506	1	533	5.117E-35	1401
>LOKIASV2_37300 apolipoprotein N-acyltransferase	LOKIASV2_3730_ESMFold_apolipoprotein_N-acyltransferase	AF-P61038-F1-model_v4	Apolipoprotein N-acyltransferase 2 	0.169	524	411	1	496	1	524	2.23E-21	753
>LOKIASV2_37310 hypothetical protein	LOKIASV2_3731_ESMFold_hypothetical_protein	AF-Q58721-F1-model_v4	Uncharacterized HTH-type transcriptional regulator MJ1325 	0.227	78	57	18	95	10	84	0.003752	142
>LOKIASV2_37320 MFS transporter	LOKIASV2_3732_ESMFold_MFS_transporter	AF-Q5XBB2-F1-model_v4	Macrolide efflux protein A 	0.282	420	288	17	436	2	403	1.007E-18	895
>LOKIASV2_37330 hypothetical protein	LOKIASV2_3733_ESMFold_hypothetical_protein	AF-B4SZP4-F1-model_v4	Uncharacterized MFS-type transporter YfcJ 	0.171	434	321	3	436	1	388	5.09E-11	516
>LOKIASV2_37340 hypothetical protein	LOKIASV2_3734_ESMFold_hypothetical_protein	AF-Q01588-F1-model_v4	Replication protein A 70 kDa DNA-binding subunit 	0.122	112	72	15	126	308	390	0.05354	80
>LOKIASV2_37350 nitroreductase family protein	LOKIASV2_3735_ESMFold_nitroreductase_family_protein	8ajx-assembly1.cif.gz_A	E. coli NfsA with Fumarate 	0.257	260	177	7	266	1	239	9.307E-19	681
>LOKIASV2_37360 transcription initiation factor IIB	LOKIASV2_3736_ESMFold_transcription_initiation_factor_IIB	AF-Q979Q3-F1-model_v4	Transcription initiation factor IIB 1 	0.328	312	204	3	306	1	312	5.825E-18	704
>LOKIASV2_37370 FumA C-terminus-TtdB family hydratase beta subunit	LOKIASV2_3737_ESMFold_FumA_C-terminus-TtdB_family_hydratase_beta_subunit	AF-Q58034-F1-model_v4	Putative L(+)-tartrate dehydratase subunit beta 	0.437	180	100	14	193	1	179	3.322E-22	748
>LOKIASV2_37380 fumarate hydratase	LOKIASV2_3738_ESMFold_fumarate_hydratase	AF-Q58690-F1-model_v4	Putative L(+)-tartrate dehydratase subunit alpha 	0.333	288	187	14	301	4	284	3.872E-34	1170
>LOKIASV2_37390 hypothetical protein	LOKIASV2_3739_ESMFold_hypothetical_protein	AF-P16950-F1-model_v4	Amylopullulanase 	0.319	92	60	445	536	928	1016	0.0000202	304
>LOKIASV2_37400 hypothetical protein	LOKIASV2_3740_ESMFold_hypothetical_protein	7unf-assembly1.cif.gz_7	CryoEM structure of a mEAK7 bound human V-ATPase complex 	0.258	147	108	1	147	4	150	0.00000009971	387
>LOKIASV2_37410 hypothetical protein	LOKIASV2_3741_ESMFold_hypothetical_protein	AF-O57721-F1-model_v4	V-type ATP synthase subunit I 	0.182	642	443	2	544	5	646	6.386E-21	769
>LOKIASV2_37420 hypothetical protein	LOKIASV2_ORF_3742 not PDB100 or Swiss-Prot hit											
>LOKIASV2_37430 hypothetical protein	LOKIASV2_3743_ESMFold_hypothetical_protein	AF-A6UT32-F1-model_v4	V-type ATP synthase subunit E 	0.303	205	141	1	205	1	203	9.548E-12	396
>LOKIASV2_37440 hypothetical protein	LOKIASV2_3744_ESMFold_hypothetical_protein	AF-O27037-F1-model_v4	V-type ATP synthase subunit F 	0.31	103	70	2	104	4	105	0.000001117	226
>LOKIASV2_37450 ATP synthase subunit A	LOKIASV2_3745_ESMFold_ATP_synthase_subunit_A	AF-A5UKB2-F1-model_v4	V-type ATP synthase alpha chain 	0.504	583	288	11	592	1	583	1.634E-82	3346
>LOKIASV2_37460 ATP synthase subunit B	LOKIASV2_3746_ESMFold_ATP_synthase_subunit_B	AF-Q9UXU8-F1-model_v4	V-type ATP synthase beta chain 	0.572	458	196	15	472	3	460	3.142E-69	2738
>LOKIASV2_37470 hypothetical protein	LOKIASV2_3747_ESMFold_hypothetical_protein	AF-Q8TII9-F1-model_v4	V-type ATP synthase subunit D 	0.237	212	158	1	212	1	208	9.028E-11	391
>LOKIASV2_37480 hypothetical protein	LOKIASV2_3748_ESMFold_hypothetical_protein	AF-Q8TIJ3-F1-model_v4	V-type ATP synthase subunit C 	0.186	352	271	6	357	26	359	4.255E-12	589
>LOKIASV2_37490 low molecular weight protein arginine phosphatase	LOKIASV2_3749_ESMFold_low_molecular_weight_protein_arginine_phosphatase	AF-P0AAB3-F1-model_v4	Low molecular weight protein-tyrosine-phosphatase Wzb 	0.27	158	101	7	164	2	141	3.247E-12	431
>LOKIASV2_37500 hypothetical protein	LOKIASV2_3750_ESMFold_hypothetical_protein	AF-O59188-F1-model_v4	HTH-type transcriptional regulator FL11 	0.237	155	111	1	155	5	151	6.069E-12	428
>LOKIASV2_37510 hypothetical protein	LOKIASV2_3751_ESMFold_hypothetical_protein	2pmh-assembly1.cif.gz_A	Crystal structure of Thr132Ala of ST1022 from Sulfolobus tokodaii 	0.263	151	106	5	155	1	145	1.72E-11	381
>LOKIASV2_37520 hypothetical protein	LOKIASV2_3752_ESMFold_hypothetical_protein	3tff-assembly2.cif.gz_B	Crystal structure of an H-NOX protein from Nostoc sp. PCC 7120, L67W mutant 	0.146	181	140	29	193	2	182	0.0000004088	212
>LOKIASV2_37530 hypothetical protein	LOKIASV2_3753_ESMFold_hypothetical_protein	AF-Q9V1E5-F1-model_v4	Uncharacterized HTH-type transcriptional regulator PYRAB04820 	0.171	139	113	6	142	2	140	4.563E-10	338
>LOKIASV2_37540 hypothetical protein	LOKIASV2_3754_ESMFold_hypothetical_protein	AF-Q58960-F1-model_v4	Probable helicase MJ1565 	0.168	88	68	1	88	215	297	1.385	51
>LOKIASV2_37550 hypothetical protein	LOKIASV2_3755_ESMFold_hypothetical_protein	AF-C9JH25-F1-model_v4	Proline-rich transmembrane protein 4 	0.124	276	199	8	235	370	645	0.004266	126
>LOKIASV2_37560 hypothetical protein	LOKIASV2_3756_ESMFold_hypothetical_protein	AF-B1LQ28-F1-model_v4	Anaerobic nitric oxide reductase flavorubredoxin 	0.15	156	122	2	157	253	396	0.0000002148	216
>LOKIASV2_37570 hypothetical protein	LOKIASV2_3757_ESMFold_hypothetical_protein	AF-O34691-F1-model_v4	Putative niacin/nicotinamide transporter NaiP 	0.156	387	321	34	420	10	390	1.009E-12	609
>LOKIASV2_37580 hypothetical protein	LOKIASV2_3758_ESMFold_hypothetical_protein	6hc7-assembly1.cif.gz_A	The crystal structure of BSAP, a zinc aminopeptidase from Bacillus subtilis (medium resolution) 	0.148	426	327	11	436	7	391	1.178E-12	352
>LOKIASV2_37590 ABC transporter ATP-binding protein	LOKIASV2_3759_ESMFold_ABC_transporter_ATP-binding_protein	AF-P45861-F1-model_v4	Uncharacterized ABC transporter ATP-binding protein YwjA 	0.409	574	337	13	586	2	572	3.53E-58	2526
>LOKIASV2_37600 hypothetical protein	LOKIASV2_3760_ESMFold_hypothetical_protein	2azj-assembly1.cif.gz_B	Crystal structure for the mutant D81C of Sulfolobus solfataricus hexaprenyl pyrophosphate synthase 	0.158	252	209	2	253	25	273	0.000495	147
>LOKIASV2_37610 hypothetical protein	LOKIASV2_3761_ESMFold_hypothetical_protein	AF-P50413-F1-model_v4	Thioredoxin 	0.259	108	77	13	120	1	105	9.898E-10	348
>LOKIASV2_37620 hypothetical protein	LOKIASV2_3762_ESMFold_hypothetical_protein	AF-Q6UWX4-F1-model_v4	HHIP-like protein 2 	0.357	393	226	45	397	206	598	7.621E-37	1323
>LOKIASV2_37630 hypothetical protein	LOKIASV2_3763_ESMFold_hypothetical_protein	8e2b-assembly2.cif.gz_D	N-terminal domain of S. aureus GpsB 	0.236	55	37	46	95	14	68	4.74	22
>LOKIASV2_37640 hypothetical protein	LOKIASV2_3764_ESMFold_hypothetical_protein	AF-O67005-F1-model_v4	Flagella basal body P-ring formation protein FlgA 	0.117	75	61	5	79	17	86	1.272	32
>LOKIASV2_37650 hypothetical protein	LOKIASV2_3765_ESMFold_hypothetical_protein	AF-D4GYG5-F1-model_v4	Hexuronic acid methyltransferase AglP 	0.112	182	131	13	161	54	235	0.0001166	132
>LOKIASV2_37660 hypothetical protein	LOKIASV2_3766_ESMFold_hypothetical_protein	AF-O96693-F1-model_v4	1-deoxy-D-xylulose 5-phosphate reductoisomerase, apicoplastic 	0.09	55	48	1	54	8	62	4.977	26
>LOKIASV2_37670 hypothetical protein	LOKIASV2_3767_ESMFold_hypothetical_protein	AF-Q2S1N5-F1-model_v4	Ribosome maturation factor RimP 	0.157	56	43	28	83	102	153	0.1462	71
>LOKIASV2_37680 hypothetical protein	LOKIASV2_3768_ESMFold_hypothetical_protein	AF-P12384-F1-model_v4	Pheromone alpha factor receptor 	0.154	174	142	4	172	61	234	0.6179	73
>LOKIASV2_37690 hypothetical protein	LOKIASV2_3769_ESMFold_hypothetical_protein	3l8d-assembly1.cif.gz_A-2	Crystal structure of methyltransferase from Bacillus Thuringiensis 	0.176	234	165	28	261	2	202	5.14E-15	390
>LOKIASV2_37700 hypothetical protein	LOKIASV2_3770_ESMFold_hypothetical_protein	8hd0-assembly1.cif.gz_D	Cell divisome sPG hydrolysis machinery FtsEX-EnvC 	0.12	137	111	69	195	158	294	1.024	47
>LOKIASV2_37710 hypothetical protein	LOKIASV2_3771_ESMFold_hypothetical_protein	AF-P22991-F1-model_v4	Uncharacterized protein in hlv 5'region 	0.151	97	73	1	97	10	96	0.4671	30
>LOKIASV2_37720 hypothetical protein	LOKIASV2_3772_ESMFold_hypothetical_protein	8cec-assembly1.cif.gz_S	Rnase R bound to a 30S degradation intermediate (State I - head-turning) 	0.139	79	65	146	221	4	82	4.961	54
>LOKIASV2_37730 SDR family oxidoreductase	LOKIASV2_3773_ESMFold_SDR_family_oxidoreductase	AF-Q91XL3-F1-model_v4	UDP-glucuronic acid decarboxylase 1 	0.418	346	194	10	355	64	398	1.594E-40	1388
>LOKIASV2_37740 hypothetical protein	LOKIASV2_3774_ESMFold_hypothetical_protein	AF-Q8R0A6-F1-model_v4	V-set and transmembrane domain-containing protein 2A 	0.095	155	135	21	175	2	151	0.000001172	190
>LOKIASV2_37750 TldD-PmbA family protein	LOKIASV2_3775_ESMFold_TldD-PmbA_family_protein	5njc-assembly2.cif.gz_D	E. coli Microcin-processing metalloprotease TldD/E (TldD E263A mutant) with hexapeptide bound 	0.213	448	342	13	460	7	442	1.088E-40	1412
>LOKIASV2_37760 TldD-PmbA family protein	LOKIASV2_3776_ESMFold_TldD-PmbA_family_protein	AF-O26944-F1-model_v4	Metalloprotease MTH_856 	0.335	460	300	18	477	3	454	1.233E-55	2109
>LOKIASV2_37770 hypothetical protein	LOKIASV2_3777_ESMFold_hypothetical_protein	AF-O29563-F1-model_v4	ORC1-type DNA replication protein 2 	0.157	88	69	50	137	280	362	0.03496	86
>LOKIASV2_37780 hypothetical protein	LOKIASV2_3778_ESMFold_hypothetical_protein	5ino-assembly1.cif.gz_A	Human Tdp2 reaction product (5'-phosphorylated DNA)-Mg2+ complex 	0.205	251	192	1	243	3	253	4.252E-19	558
>LOKIASV2_37790 hypothetical protein	LOKIASV2_3779_ESMFold_hypothetical_protein	AF-Q6R2W3-F1-model_v4	SCAN domain-containing protein 3 	0.158	62	51	1	62	598	659	0.1161	78
>LOKIASV2_37800 hypothetical protein	LOKIASV2_3780_ESMFold_hypothetical_protein	AF-Q58955-F1-model_v4	Uncharacterized MFS-type transporter MJ1560 	0.158	408	320	3	410	1	381	2.157E-12	566
>LOKIASV2_37810 hypothetical protein	LOKIASV2_3781_ESMFold_hypothetical_protein	6ohh-assembly1.cif.gz_A	Structure of EF1p2_mFAP2b bound to DFHBI 	0.086	122	98	38	145	5	126	0.0001641	159
>LOKIASV2_37820 adenylosuccinate lyase	LOKIASV2_3782_ESMFold_adenylosuccinate_lyase	AF-Q58339-F1-model_v4	Adenylosuccinate lyase 	0.508	453	220	2	454	11	458	6.895E-44	2239
>LOKIASV2_37830 AIR synthase-related protein	LOKIASV2_3783_ESMFold_AIR_synthase-related_protein	3mdo-assembly1.cif.gz_B	Crystal structure of a Putative phosphoribosylformylglycinamidine cyclo-ligase (BDI_2101) from Parabacteroides distasonis ATCC 8503 at 1.91 A resolution 	0.479	363	188	35	397	3	363	2.357E-51	1769
>LOKIASV2_37840 hypothetical protein	LOKIASV2_3784_ESMFold_hypothetical_protein	AF-G5EEP3-F1-model_v4	CAAX prenyl protease 2 homolog 	0.137	295	223	11	305	5	263	0.01326	117
>LOKIASV2_37850 metallophosphoesterase family protein	LOKIASV2_3785_ESMFold_metallophosphoesterase_family_protein	AF-Q58040-F1-model_v4	Putative metallophosphoesterase MJ0623 	0.264	169	115	1	169	34	190	1.112E-14	458
>LOKIASV2_37860 hypothetical protein	LOKIASV2_3786_ESMFold_hypothetical_protein	AF-Q5F470-F1-model_v4	Ras-related protein Rab-8A 	0.301	186	122	2	187	6	180	7.058E-19	620
>LOKIASV2_37870 hypothetical protein	LOKIASV2_3787_ESMFold_hypothetical_protein	5bpi-assembly1.cif.gz_D	Structure of TrmBL2, an archaeal chromatin protein, shows a novel mode of DNA binding. 	0.17	220	171	2	221	49	255	2.484E-11	271
>LOKIASV2_37880 hypothetical protein	LOKIASV2_3788_ESMFold_hypothetical_protein	7dg2-assembly1.cif.gz_A	Nse1-Nse3-Nse4 complex 	0.21	38	29	150	187	193	230	1.392	45
>LOKIASV2_37890 hypothetical protein	LOKIASV2_3789_ESMFold_hypothetical_protein	AF-O26805-F1-model_v4	GMP synthase [glutamine-hydrolyzing] subunit A 	0.272	207	132	3	209	2	183	1.292E-18	579
>LOKIASV2_37900 hypothetical protein	LOKIASV2_3790_ESMFold_hypothetical_protein	AF-P36684-F1-model_v4	Uncharacterized protein HI0703 homolog 	0.152	192	153	53	244	9	190	0.0001009	223
>LOKIASV2_37910 pyridoxal phosphate-dependent aminotransferase	LOKIASV2_3791_ESMFold_pyridoxal_phosphate-dependent_aminotransferase	3op7-assembly1.cif.gz_A	Crystal structure of a PLP-dependent aminotransferase (ZP_03625122.1) from Streptococcus suis 89-1591 at 1.70 A resolution 	0.321	367	248	4	370	5	370	3.063E-30	982
>LOKIASV2_37920 ATP-binding protein	LOKIASV2_3792_ESMFold_ATP-binding_protein	AF-F2Z5Z6-F1-model_v4	DNA double-strand break repair helicase HerA 	0.211	553	388	12	564	1	493	9.506E-37	1199
>LOKIASV2_37930 hypothetical protein	LOKIASV2_3793_ESMFold_hypothetical_protein	6qil-assembly2.cif.gz_C	The complex structure of hsRosR-S1 (VNG0258H/RosR-S1) 	0.137	86	67	10	95	7	85	0.00194	123
>LOKIASV2_37940 CDC48 family AAA ATPase	LOKIASV2_3794_ESMFold_CDC48_family_AAA_ATPase	AF-O28972-F1-model_v4	Cell division cycle protein 48 homolog AF_1297 	0.572	724	306	16	731	8	731	2.746E-102	3192
>LOKIASV2_37950 flap endonuclease-1	LOKIASV2_3795_ESMFold_flap_endonuclease-1	AF-Q9YFY5-F1-model_v4	Flap endonuclease 1 	0.441	337	186	1	337	1	333	2.547E-39	1615
>LOKIASV2_37960 hypothetical protein	LOKIASV2_3796_ESMFold_hypothetical_protein	AF-O58440-F1-model_v4	Endoribonuclease Nob1 	0.317	173	104	19	191	7	160	1.338E-16	552
>LOKIASV2_37970 NAD-+- kinase	LOKIASV2_3797_ESMFold_NAD-+-_kinase	AF-O26958-F1-model_v4	NAD kinase 	0.319	295	191	17	311	2	283	3.775E-35	1226
>LOKIASV2_37980 translation initiation factor IF-5A	LOKIASV2_3798_ESMFold_translation_initiation_factor_IF-5A	AF-Q971T0-F1-model_v4	Translation initiation factor 5A 	0.371	140	79	2	141	4	130	1.764E-12	530
>LOKIASV2_37990 hypothetical protein	LOKIASV2_ORF_3799 not PDB100 or Swiss-Prot hit											
>LOKIASV2_38000 DNA adenine methylase	LOKIASV2_3800_ESMFold_DNA_adenine_methylase	AF-P50179-F1-model_v4	Modification methylase LlaDCHIA 	0.377	290	169	1	290	11	283	1.12E-27	941
>LOKIASV2_38010 hypothetical protein	LOKIASV2_3801_ESMFold_hypothetical_protein	AF-Q9CKJ5-F1-model_v4	Phosphoglycolate phosphatase 	0.188	230	180	4	233	1	223	6.223E-13	434
>LOKIASV2_38020 MFS transporter	LOKIASV2_3802_ESMFold_MFS_transporter	AF-Q58955-F1-model_v4	Uncharacterized MFS-type transporter MJ1560 	0.195	380	303	9	388	2	379	4.978E-12	582
>LOKIASV2_38030 hypothetical protein	LOKIASV2_3803_ESMFold_hypothetical_protein	2xma-assembly1.cif.gz_B	DEINOCOCCUS RADIODURANS ISDRA2 TRANSPOSASE RIGHT END DNA COMPLEX 	0.207	128	92	12	139	18	134	0.000000001889	308
>LOKIASV2_38040 hypothetical protein	LOKIASV2_3804_ESMFold_hypothetical_protein	AF-Q54U75-F1-model_v4	Cyclic AMP receptor-like protein A 	0.16	253	209	4	253	61	313	0.002331	150
>LOKIASV2_38050 hypothetical protein	LOKIASV2_3805_ESMFold_hypothetical_protein	AF-P37523-F1-model_v4	Uncharacterized protein YyaB 	0.132	155	116	6	160	1	135	0.002168	91
>LOKIASV2_38060 hypothetical protein	LOKIASV2_3806_ESMFold_hypothetical_protein	AF-P46518-F1-model_v4	Late embryogenesis abundant protein Lea14-A 	0.094	142	127	25	165	2	143	0.0003736	151
>LOKIASV2_38070 signal recognition particle protein Srp54	LOKIASV2_3807_ESMFold_signal_recognition_particle_protein_Srp54	AF-Q9V1E8-F1-model_v4	Signal recognition particle 54 kDa protein 	0.496	428	215	1	427	1	428	4.842E-41	1764
>LOKIASV2_38080 dihydroorotase	LOKIASV2_3808_ESMFold_dihydroorotase	AF-Q5PCG0-F1-model_v4	Allantoinase 	0.233	490	341	2	491	5	450	3.615E-41	1302
>LOKIASV2_38090 TIGR00296 family protein	LOKIASV2_3809_ESMFold_TIGR00296_family_protein	AF-B6YW91-F1-model_v4	Protein TON_1965 	0.475	207	107	1	207	2	205	8.143E-28	1023
>LOKIASV2_38100 YgiQ family radical SAM protein	LOKIASV2_3810_ESMFold_YgiQ_family_radical_SAM_protein	AF-Q8R682-F1-model_v4	UPF0313 protein FN0734 	0.382	546	331	13	548	18	563	5.233E-50	1697
>LOKIASV2_38110 16S rRNA -adenine-1518--N-6--adenine-1519--N-6---dimethyltransferase RsmA	LOKIASV2_3811_ESMFold_16S_rRNA_-adenine-1518--N-6--adenine-1519--N-6---dimethyltransferase_RsmA	AF-B6YTK7-F1-model_v4	Probable ribosomal RNA small subunit methyltransferase A 	0.225	299	207	7	305	3	270	6.319E-25	791
>LOKIASV2_38120 carboxylating nicotinate-nucleotide diphosphorylase	LOKIASV2_3812_ESMFold_carboxylating_nicotinate-nucleotide_diphosphorylase	AF-O27860-F1-model_v4	Probable nicotinate-nucleotide pyrophosphorylase [carboxylating] 	0.379	275	170	19	292	2	276	1.115E-33	1266
>LOKIASV2_38130 hypothetical protein	LOKIASV2_3813_ESMFold_hypothetical_protein	AF-O31661-F1-model_v4	Sporulation kinase E 	0.177	733	533	7	655	2	734	4.778E-50	1058
>LOKIASV2_38140 nickel-responsive transcriptional regulator NikR	LOKIASV2_3814_ESMFold_nickel-responsive_transcriptional_regulator_NikR	AF-Q6N0K6-F1-model_v4	Putative nickel-responsive regulator 	0.189	136	109	1	135	1	136	5.044E-10	341
>LOKIASV2_38150 aminoacyl-tRNA hydrolase	LOKIASV2_3815_ESMFold_aminoacyl-tRNA_hydrolase	AF-A9A6B6-F1-model_v4	Peptidyl-tRNA hydrolase 	0.573	115	49	6	120	2	116	1.324E-16	620
>LOKIASV2_38160 hypothetical protein	LOKIASV2_3816_ESMFold_hypothetical_protein	AF-O61570-F1-model_v4	60S ribosomal protein L38 	0.391	69	39	1	65	1	69	0.0000001276	300
>LOKIASV2_38170 hypothetical protein	LOKIASV2_3817_ESMFold_hypothetical_protein	7mns-assembly1.cif.gz_B	Crystal Structure of the ZnF4 of Nucleoporin NUP358/RanBP2 in complex with Ran-GDP 	0.187	32	24	1	32	9	38	1.147	56
>LOKIASV2_38180 hypothetical protein	LOKIASV2_3818_AF2_hypothetical_protein	2xzp-assembly1.cif.gz_A	Upf1 helicase 	0.17	706	478	773	1478	6	582	1.177E-20	564
>LOKIASV2_38190 hypothetical protein	LOKIASV2_3819_AF2_hypothetical_protein	7txh-assembly2.cif.gz_E	Human MRas Q71R in complex with human Shoc2 LRR domain M173I and human PP1Ca 	0.182	695	385	168	862	18	489	8.004E-21	536
>LOKIASV2_38200 exonuclease SbcCD subunit D	LOKIASV2_3820_ESMFold_exonuclease_SbcCD_subunit_D	AF-O26641-F1-model_v4	DNA double-strand break repair protein Mre11 	0.189	451	327	3	453	170	573	3.575E-24	673
>LOKIASV2_38210 hypothetical protein	LOKIASV2_3821_AF2_hypothetical_protein	AF-Q8TXI4-F1-model_v4	DNA double-strand break repair Rad50 ATPase 	0.2	898	699	3	900	2	876	1.966E-44	1229
>LOKIASV2_38220 hypothetical protein	LOKIASV2_3822_ESMFold_hypothetical_protein	AF-O28791-F1-model_v4	Putative antitoxin AF_1481 	0.328	73	44	4	76	1	66	0.009354	91
>LOKIASV2_38230 type II toxin-antitoxin system VapC family toxin	LOKIASV2_3823_ESMFold_type_II_toxin-antitoxin_system_VapC_family_toxin	AF-Q4QLW0-F1-model_v4	Ribonuclease VapC 	0.258	139	96	1	139	1	131	3.216E-10	409
>LOKIASV2_38240 hypothetical protein	LOKIASV2_3824_ESMFold_hypothetical_protein	AF-B8AR30-F1-model_v4	GATA transcription factor 19 	0.125	91	79	43	133	21	111	0.1471	41
>LOKIASV2_38250 MBL fold metallo-hydrolase	LOKIASV2_3825_ESMFold_MBL_fold_metallo-hydrolase	2az4-assembly1.cif.gz_A	Crystal Structure of a Protein of Unknown Function from Enterococcus faecalis V583 	0.217	527	330	2	528	3	425	1.025E-26	740
>LOKIASV2_38260 hypothetical protein	LOKIASV2_3826_ESMFold_hypothetical_protein	AF-Q8PTK1-F1-model_v4	DNA ligase 2 	0.174	365	276	46	410	233	567	2.041E-20	541
>LOKIASV2_38270 hypothetical protein	LOKIASV2_3827_ESMFold_hypothetical_protein	AF-A7EWN6-F1-model_v4	Eukaryotic translation initiation factor 3 subunit G 	0.2	60	44	63	122	7	62	0.697	46
>LOKIASV2_38280 hypothetical protein	LOKIASV2_3828_ESMFold_hypothetical_protein	7sa7-assembly3.cif.gz_C	Crystal structure of the apo SH2 domains of Syk 	0.184	38	30	28	65	40	77	1.47	44
>LOKIASV2_38290 Rab family GTPase	LOKIASV2_3829_ESMFold_Rab_family_GTPase	AF-P61028-F1-model_v4	Ras-related protein Rab-8B 	0.426	177	100	1	177	1	176	3.033E-24	855
>LOKIASV2_38300 hypothetical protein	LOKIASV2_3830_ESMFold_hypothetical_protein	AF-P37820-F1-model_v4	Putative mannose-1-phosphate guanyltransferase 	0.229	383	274	6	388	3	359	1.248E-27	939
>LOKIASV2_38310 N-A	LOKIASV2_3831_ESMFold_N-A	AF-Q68BJ6-F1-model_v4	Phosphoglucomutase/phosphomannomutase 	0.264	454	330	10	463	4	452	1.662E-44	1500
>LOKIASV2_38320 hypothetical protein	LOKIASV2_3832_AF2_hypothetical_protein	AF-C5CB68-F1-model_v4	UPF0182 protein Mlut_14990 	0.145	946	773	34	938	17	962	4.705E-27	691
>LOKIASV2_38330 hypothetical protein	LOKIASV2_3833_ESMFold_hypothetical_protein	AF-A8FF36-F1-model_v4	HTH-type transcriptional regulator MntR 	0.12	74	59	16	89	6	73	0.005859	131
>LOKIASV2_38340 hypothetical protein	LOKIASV2_3834_AF2_hypothetical_protein	4a1s-assembly1.cif.gz_B	Crystallographic structure of the Pins:Insc complex 	0.077	439	286	1663	2101	5	315	0.01198	77
>LOKIASV2_38350 hypothetical protein	LOKIASV2_3835_ESMFold_hypothetical_protein	AF-O19199-F1-model_v4	Uncharacterized protein AF_0569 	0.285	42	29	10	51	4	45	0.2261	81
>LOKIASV2_38360 hypothetical protein	LOKIASV2_3836_ESMFold_hypothetical_protein	1pcf-assembly1.cif.gz_A	HUMAN TRANSCRIPTIONAL COACTIVATOR PC4 C-TERMINAL DOMAIN 	0.197	67	51	17	83	1	65	0.09749	70
>LOKIASV2_38370 hypothetical protein	LOKIASV2_3837_ESMFold_hypothetical_protein	AF-F4JIJ7-F1-model_v4	Transcription factor bHLH162 	0.145	156	117	30	185	53	190	0.009942	77
>LOKIASV2_38380 hypothetical protein	LOKIASV2_3838_ESMFold_hypothetical_protein	1ls4-assembly1.cif.gz_A	NMR structure of apolipophorin-III from Locusta migratoria 	0.14	110	91	22	128	53	162	6.196	23
>LOKIASV2_38390 hypothetical protein	LOKIASV2_3839_ESMFold_hypothetical_protein	AF-P22679-F1-model_v4	Elongation factor Tu 	0.168	204	159	2	205	13	204	0.00000002269	248
